id,name,quality,difficulty,requires_lead,repeatable,reward_id,zone_id,set_id,set_name,set_reward_id,set_count,category_id,category_name
488,Ancestral Breton: Bows,2,1,1,1,3745,1318,0,,-1,-1,49,High Isle
489,Ancestral Breton: Chests,4,3,1,1,3746,1318,0,,-1,-1,49,High Isle
490,Ancestral Breton: Daggers,2,1,1,1,3747,1318,0,,-1,-1,49,High Isle
491,Ancestral Breton: Gloves,2,1,1,1,3748,1318,0,,-1,-1,49,High Isle
492,Ancestral Breton: Helmets,3,2,1,1,3749,1318,0,,-1,-1,49,High Isle
493,Ancestral Breton: Legs,2,1,1,1,3750,1318,0,,-1,-1,49,High Isle
494,Ancestral Breton: Maces,3,2,1,1,3751,1318,0,,-1,-1,49,High Isle
495,Ancestral Breton: Shields,4,3,1,1,3752,1318,0,,-1,-1,49,High Isle
496,Ancestral Breton: Shoulders,3,2,1,1,3753,1318,0,,-1,-1,49,High Isle
497,Ancestral Breton: Staves,3,2,1,1,3754,1318,0,,-1,-1,49,High Isle
498,Ancestral Breton: Swords,4,3,1,1,3755,1318,0,,-1,-1,49,High Isle
46,Ancestral High Elf: Axes,2,1,1,1,2123,537,0,,-1,-1,21,Khenarthi's Roost
47,Ancestral High Elf: Belts,2,1,1,1,2124,537,0,,-1,-1,21,Khenarthi's Roost
48,Ancestral High Elf: Boots,2,1,1,1,2125,383,0,,-1,-1,17,Grahtwood
49,Ancestral High Elf: Bows,2,1,1,1,2126,381,0,,-1,-1,16,Auridon
50,Ancestral High Elf: Chests,4,3,1,1,2127,381,0,,-1,-1,16,Auridon
51,Ancestral High Elf: Daggers,2,1,1,1,2128,108,0,,-1,-1,18,Greenshade
52,Ancestral High Elf: Gloves,2,1,1,1,2129,58,0,,-1,-1,19,Malabal Tor
53,Ancestral High Elf: Helmets,3,2,1,1,2130,537,0,,-1,-1,21,Khenarthi's Roost
54,Ancestral High Elf: Legs,2,1,1,1,2131,382,0,,-1,-1,20,Reaper's March
55,Ancestral High Elf: Maces,3,2,1,1,2132,383,0,,-1,-1,17,Grahtwood
56,Ancestral High Elf: Shields,4,3,1,1,2133,382,0,,-1,-1,20,Reaper's March
57,Ancestral High Elf: Shoulders,3,2,1,1,2134,108,0,,-1,-1,18,Greenshade
58,Ancestral High Elf: Staves,3,2,1,1,2135,537,0,,-1,-1,21,Khenarthi's Roost
59,Ancestral High Elf: Swords,4,3,1,1,2136,58,0,,-1,-1,19,Malabal Tor
32,Ancestral Nord: Axes,2,1,1,1,2109,280,0,,-1,-1,14,Bleakrock Isle
33,Ancestral Nord: Belts,2,1,1,1,2110,281,0,,-1,-1,15,Bal Foyen
34,Ancestral Nord: Boots,2,1,1,1,2111,57,0,,-1,-1,10,Deshaan
35,Ancestral Nord: Bows,2,1,1,1,2112,41,0,,-1,-1,9,Stonefalls
36,Ancestral Nord: Chests,4,3,1,1,2113,41,0,,-1,-1,9,Stonefalls
37,Ancestral Nord: Daggers,2,1,1,1,2114,117,0,,-1,-1,11,Shadowfen
38,Ancestral Nord: Gloves,2,1,1,1,2115,103,0,,-1,-1,12,The Rift
39,Ancestral Nord: Helmets,3,2,1,1,2116,280,0,,-1,-1,14,Bleakrock Isle
40,Ancestral Nord: Legs,2,1,1,1,2117,101,0,,-1,-1,13,Eastmarch
41,Ancestral Nord: Maces,3,2,1,1,2118,57,0,,-1,-1,10,Deshaan
42,Ancestral Nord: Shields,4,3,1,1,2119,101,0,,-1,-1,13,Eastmarch
43,Ancestral Nord: Shoulders,3,2,1,1,2120,117,0,,-1,-1,11,Shadowfen
44,Ancestral Nord: Staves,3,2,1,1,2121,281,0,,-1,-1,15,Bal Foyen
45,Ancestral Nord: Swords,4,3,1,1,2122,103,0,,-1,-1,12,The Rift
18,Ancestral Orc: Axes,2,1,1,1,2041,534,0,,-1,-1,7,Stros M'Kai
19,Ancestral Orc: Belts,2,1,1,1,2042,535,0,,-1,-1,8,Betnikh
20,Ancestral Orc: Boots,2,1,1,1,2043,19,0,,-1,-1,3,Stormhaven
21,Ancestral Orc: Bows,2,1,1,1,2044,3,0,,-1,-1,2,Glenumbra
22,Ancestral Orc: Chests,4,3,1,1,2045,3,0,,-1,-1,2,Glenumbra
23,Ancestral Orc: Daggers,2,1,1,1,2046,20,0,,-1,-1,4,Rivenspire
24,Ancestral Orc: Gloves,2,1,1,1,2047,104,0,,-1,-1,5,Alik'r Desert
25,Ancestral Orc: Helmets,3,2,1,1,2048,534,0,,-1,-1,7,Stros M'Kai
26,Ancestral Orc: Legs,2,1,1,1,2049,92,0,,-1,-1,6,Bangkorai
27,Ancestral Orc: Maces,3,2,1,1,2050,19,0,,-1,-1,3,Stormhaven
28,Ancestral Orc: Shields,4,3,1,1,2051,92,0,,-1,-1,6,Bangkorai
29,Ancestral Orc: Shoulders,3,2,1,1,2052,20,0,,-1,-1,4,Rivenspire
30,Ancestral Orc: Staves,3,2,1,1,2053,535,0,,-1,-1,8,Betnikh
31,Ancestral Orc: Swords,4,3,1,1,2054,104,0,,-1,-1,5,Alik'r Desert
316,Ancestral Reach: Axes,2,1,1,1,2496,1207,0,,-1,-1,46,The Reach
317,Ancestral Reach: Belts,2,1,1,1,2497,1207,0,,-1,-1,46,The Reach
318,Ancestral Reach: Boots,2,1,1,1,2498,1207,0,,-1,-1,46,The Reach
319,Ancestral Reach: Bows,2,1,1,1,2499,1207,0,,-1,-1,46,The Reach
320,Ancestral Reach: Chests,4,3,1,1,2500,1207,0,,-1,-1,46,The Reach
321,Ancestral Reach: Daggers,2,1,1,1,2501,1207,0,,-1,-1,46,The Reach
322,Ancestral Reach: Gloves,2,1,1,1,2502,1207,0,,-1,-1,46,The Reach
323,Ancestral Reach: Helmets,3,2,1,1,2503,1207,0,,-1,-1,46,The Reach
324,Ancestral Reach: Legs,2,1,1,1,2504,1207,0,,-1,-1,46,The Reach
325,Ancestral Reach: Maces,3,2,1,1,2505,1207,0,,-1,-1,46,The Reach
326,Ancestral Reach: Shields,4,3,1,1,2506,1207,0,,-1,-1,46,The Reach
327,Ancestral Reach: Shoulders,3,2,1,1,2507,1207,0,,-1,-1,46,The Reach
328,Ancestral Reach: Staves,3,2,1,1,2508,1207,0,,-1,-1,46,The Reach
